episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
285,880.0,735,172660,0.1,0.12889413076007497,704.133761145,True,False
286,350.0,408,173068,0.1,0.1020921242295527,706.327051161,True,False
287,900.0,742,173810,0.1,0.14469431758531043,709.154210911,True,False
288,440.0,542,174352,0.1,0.1270166027414448,711.303662253,True,False
289,510.0,404,174756,0.1,0.14021726782516677,712.9387165309998,True,False
290,280.0,323,175079,0.1,0.11560153218451888,714.283978279,True,False
291,550.0,555,175634,0.1,0.11942631351969225,716.677804324,True,False
292,340.0,389,176023,0.1,0.11695620855412532,718.8606289159999,True,False
293,300.0,483,176506,0.1,0.15152262779306774,720.8395508989998,True,False
294,570.0,555,177061,0.1,0.15005675555883552,723.0338923809999,True,False
295,600.0,546,177607,0.1,0.14491070909699535,725.248642229,True,False
296,340.0,362,177969,0.1,0.1283004648348951,726.778264508,True,False
297,1050.0,787,178756,0.1,0.13793801230751923,730.0803752619998,True,False
298,1380.0,826,179582,0.1,0.17226069456291865,733.858422632,True,False
299,800.0,661,180243,0.1,0.1266098121068243,736.450976384,True,False
300,640.0,557,180800,0.1,0.12977665141224862,738.723196558,True,False
301,460.0,467,181267,0.1,0.13795786468183685,743.0313552859999,True,False
302,670.0,700,181967,0.1,0.12277440188186509,746.633858997,True,False
303,660.0,560,182527,0.1,0.11327462574200971,749.152094186,True,False
304,640.0,604,183131,0.1,0.10230817486661554,751.690397517,True,False
305,460.0,438,183569,0.1,0.09362732888284055,753.592989308,True,False
306,530.0,459,184028,0.1,0.12227176094184751,755.6828919129999,True,False
307,370.0,432,184460,0.1,0.10154873268954732,758.1566297210001,True,False
308,960.0,680,185140,0.1,0.11490142400212147,760.797924288,True,False
309,760.0,737,185877,0.1,0.12296583788449188,763.7060901879998,True,False
310,690.0,654,186531,0.1,0.12079472980387737,766.2829585119999,True,False
311,840.0,617,187148,0.1,0.1389428675715481,768.9392985609999,True,False
312,550.0,481,187629,0.1,0.14278729140448074,771.578679697,True,False
313,950.0,575,188204,0.1,0.13208048109016898,773.971381422,True,False
314,480.0,518,188722,0.1,0.12703990989704003,776.184948745,True,False
315,640.0,522,189244,0.1,0.13130550031045465,778.4064763119999,True,False
316,950.0,828,190072,0.1,0.13031927308130667,782.1118780339999,True,False
317,220.0,390,190462,0.1,0.1424800930832772,784.521812506,True,False
318,1320.0,596,191058,0.1,0.13080077800874743,787.188319638,True,False
319,430.0,451,191509,0.1,0.11784013438211606,789.0761703739998,True,False
320,1020.0,816,192325,0.1,0.14845737833164485,792.295108337,True,False
321,670.0,565,192890,0.1,0.148255827129944,794.7114930189999,True,False
322,360.0,419,193309,0.1,0.115487489849329,797.131971446,True,False
323,630.0,613,193922,0.1,0.14521917437805848,799.6759546309999,True,False
324,540.0,533,194455,0.1,0.13552516579796048,801.8223309389999,True,False
325,1300.0,660,195115,0.1,0.13978571623112215,804.4936402079999,True,False
326,480.0,471,195586,0.1,0.10439351246834307,809.923192636,True,False
327,340.0,421,196007,0.1,0.144964825024917,812.030101275,True,False
328,760.0,689,196696,0.1,0.1329378620048479,814.923183452,True,False
329,380.0,445,197141,0.1,0.13622999723228785,816.904966012,True,False
330,350.0,374,197515,0.1,0.12528445593692283,818.6221258739998,True,False
331,470.0,416,197931,0.1,0.12762280403134915,820.603428518,True,False
332,730.0,607,198538,0.1,0.13109240291248025,823.8661824539998,True,False
333,550.0,440,198978,0.1,0.13353550913320347,825.724399392,True,False
334,480.0,412,199390,0.1,0.15037674015586816,827.4285732539998,True,False
335,380.0,497,199887,0.1,0.14714814814168117,829.469897906,True,False
336,920.0,594,200481,0.1,0.13089576655461285,831.8559668459999,True,False
337,390.0,500,200981,0.1,0.13033081042021513,834.095464938,True,False
338,500.0,459,201440,0.1,0.15532430928686392,836.7215962039999,True,False
339,1260.0,584,202024,0.1,0.18065266670939856,839.1840714879999,True,False
340,1000.0,787,202811,0.1,0.1586518987671149,842.405667248,True,False
341,550.0,571,203382,0.1,0.13598390423751378,844.8470674819999,True,False
342,1410.0,904,204286,0.1,0.13515560312888922,849.435660992,True,False
343,730.0,565,204851,0.1,0.1259347063007084,851.918064227,True,False
344,600.0,585,205436,0.1,0.12116395589597777,854.3803373499999,True,False
345,780.0,606,206042,0.1,0.11472521322649835,856.862338237,True,False
346,680.0,574,206616,0.1,0.12785261205863208,859.1659310209999,True,False
347,650.0,768,207384,0.1,0.12188913252127047,862.9442631589999,True,False
348,880.0,872,208256,0.1,0.11676836963913856,866.514627634,True,False
349,800.0,667,208923,0.1,0.12479410638067737,869.2610016689999,True,False
350,1810.0,965,209888,0.1,0.10180059581810286,873.4836031149999,True,False
351,470.0,419,210307,0.1,0.0877239983707953,879.0285456299999,True,False
352,340.0,417,210724,0.1,0.1450169998265448,880.885684495,True,False
353,1510.0,725,211449,0.1,0.1259233665688591,884.020744091,True,False
354,1400.0,710,212159,0.1,0.14290534636521407,887.3416618089999,True,False
355,630.0,514,212673,0.1,0.13245350905051528,889.887329197,True,False
356,330.0,346,213019,0.1,0.13651375242963779,891.3959662439999,True,False
357,880.0,701,213720,0.1,0.14425341492857446,894.305948116,True,False
358,380.0,486,214206,0.1,0.11404921408465579,896.329371854,True,False
359,250.0,311,214517,0.1,0.13798934314399958,897.7191945189999,True,False
360,540.0,524,215041,0.1,0.13142475339349444,900.50090242,True,False
361,510.0,506,215547,0.1,0.13286997689791616,902.9889640759999,True,False
362,570.0,464,216011,0.1,0.16498240395770247,905.04121886,True,False
363,310.0,544,216555,0.1,0.135279339765582,907.389548497,True,False
364,350.0,373,216928,0.1,0.15888503750667293,909.0573482219999,True,False
365,570.0,527,217455,0.1,0.14103968772781258,911.310667932,True,False
366,410.0,384,217839,0.1,0.12031533173285425,913.4806510929999,True,False
367,880.0,597,218436,0.1,0.1423106896939377,916.3297906459999,True,False
368,940.0,817,219253,0.1,0.16055213098469026,919.660785534,True,False
369,280.0,312,219565,0.1,0.08236846746876836,921.059006948,True,False
370,650.0,720,220285,0.1,0.13496444501603644,923.971952451,True,False
371,1240.0,1008,221293,0.1,0.12899190665311402,928.928031343,True,False
372,670.0,644,221937,0.1,0.12280003296107239,931.5913864809999,True,False
373,230.0,390,222327,0.1,0.08410551848331678,933.3188064049999,True,False
374,1930.0,763,223090,0.1,0.12476253220860246,936.530361899,True,False
375,560.0,598,223688,0.1,0.12496808577949801,939.5920122199999,True,False
376,510.0,513,224201,0.1,0.1379411625675857,944.3494237009999,True,False
377,1060.0,813,225014,0.1,0.12838744257434542,947.679815871,True,False
378,4080.0,804,225818,0.1,0.11836249968824696,951.078740759,True,False
379,760.0,540,226358,0.1,0.09652879104294158,954.0803262839999,True,False
380,710.0,557,226915,0.1,0.11974968354505815,956.4373355179999,True,False
381,1060.0,584,227499,0.1,0.13924957605155364,958.84944263,True,False
382,470.0,496,227995,0.1,0.08764557684621503,960.920504971,True,False
383,940.0,788,228783,0.1,0.11063868571356468,964.4271183929999,True,False
384,780.0,727,229510,0.1,0.10821986232198529,968.104924895,True,False
385,630.0,571,230081,0.1,0.1045921955622368,970.4896292469999,True,False
386,330.0,382,230463,0.1,0.15348849059327652,972.187912685,True,False
387,650.0,426,230889,0.1,0.12860515261086347,974.0319886799999,True,False
388,470.0,475,231364,0.1,0.12971663370947628,976.0906697899999,True,False
389,1900.0,959,232323,0.1,0.15901353507922283,980.7947194340001,True,False
